,Theater,Link,city
136,CGV대구아카데미,http://www.cgv.co.kr/theaters/?areacode=11&theaterCode=0185&date=20230530,대구
137,CGV대구연경,http://www.cgv.co.kr/theaters/?areacode=11&theaterCode=0343&date=20230530,대구
138,CGV대구월성,http://www.cgv.co.kr/theaters/?areacode=11&theaterCode=0216&date=20230530,대구
139,CGV대구한일,http://www.cgv.co.kr/theaters/?areacode=11&theaterCode=0147&date=20230530,대구
140,CGV대구현대,http://www.cgv.co.kr/theaters/?areacode=11&theaterCode=0109&date=20230530,대구
141,CGV대연,http://www.cgv.co.kr/theaters/?areacode=05%2C207&theaterCode=0061&date=20230530,부산/울산
142,CGV동래,http://www.cgv.co.kr/theaters/?areacode=05%2C207&theaterCode=0042&date=20230530,부산/울산
143,CGV부산명지,http://www.cgv.co.kr/theaters/?areacode=05%2C207&theaterCode=0337&date=20230530,부산/울산
144,CGV서면,http://www.cgv.co.kr/theaters/?areacode=05%2C207&theaterCode=0005&date=20230530,부산/울산
145,CGV서면삼정타워,http://www.cgv.co.kr/theaters/?areacode=05%2C207&theaterCode=0285&date=20230530,부산/울산
146,CGV서면상상마당,http://www.cgv.co.kr/theaters/?areacode=05%2C207&theaterCode=0303&date=20230530,부산/울산
147,CGV센텀시티,http://www.cgv.co.kr/theaters/?areacode=05%2C207&theaterCode=0089&date=20230530,부산/울산
148,CGV아시아드,http://www.cgv.co.kr/theaters/?areacode=05%2C207&theaterCode=0160&date=20230530,부산/울산
149,CGV울산동구,http://www.cgv.co.kr/theaters/?areacode=05%2C207&theaterCode=0335&date=20230530,부산/울산
150,CGV울산삼산,http://www.cgv.co.kr/theaters/?areacode=05%2C207&theaterCode=0128&date=20230530,부산/울산
151,CGV울산신천,http://www.cgv.co.kr/theaters/?areacode=05%2C207&theaterCode=0264&date=20230530,부산/울산
152,CGV울산진장,http://www.cgv.co.kr/theaters/?areacode=05%2C207&theaterCode=0246&date=20230530,부산/울산
153,CGV정관,http://www.cgv.co.kr/theaters/?areacode=05%2C207&theaterCode=0306&date=20230530,부산/울산
154,CGV하단아트몰링,http://www.cgv.co.kr/theaters/?areacode=05%2C207&theaterCode=0245&date=20230530,부산/울산
155,CGV해운대,http://www.cgv.co.kr/theaters/?areacode=05%2C207&theaterCode=0318&date=20230530,부산/울산
156,CGV화명,http://www.cgv.co.kr/theaters/?areacode=05%2C207&theaterCode=0159&date=20230530,부산/울산
157,CINE de CHEF 센텀,http://www.cgv.co.kr/theaters/special/show-times.aspx?regioncode=103&theatercode=0089,부산/울산
158,DRIVE IN 영도,http://www.cgv.co.kr/theaters/?areacode=05%2C207&theaterCode=0367&date=20230530,부산/울산
159,CGV거제,http://www.cgv.co.kr/theaters/?areacode=204&theaterCode=0263&date=20230530,경상
160,CGV경산,http://www.cgv.co.kr/theaters/?areacode=204&theaterCode=0330&date=20230530,경상
161,CGV고성,http://www.cgv.co.kr/theaters/?areacode=204&theaterCode=0323&date=20230530,경상
162,CGV구미,http://www.cgv.co.kr/theaters/?areacode=204&theaterCode=0053&date=20230530,경상
163,CGV김천율곡,http://www.cgv.co.kr/theaters/?areacode=204&theaterCode=0240&date=20230530,경상
164,CGV김해,http://www.cgv.co.kr/theaters/?areacode=204&theaterCode=0028&date=20230530,경상
165,CGV김해율하,http://www.cgv.co.kr/theaters/?areacode=204&theaterCode=0311&date=20230530,경상
166,CGV김해장유,http://www.cgv.co.kr/theaters/?areacode=204&theaterCode=0239&date=20230530,경상
167,CGV마산,http://www.cgv.co.kr/theaters/?areacode=204&theaterCode=0033&date=20230530,경상
168,CGV북포항,http://www.cgv.co.kr/theaters/?areacode=204&theaterCode=0097&date=20230530,경상
169,CGV안동,http://www.cgv.co.kr/theaters/?areacode=204&theaterCode=0272&date=20230530,경상
170,CGV양산삼호,http://www.cgv.co.kr/theaters/?areacode=204&theaterCode=0234&date=20230530,경상
171,CGV진주혁신,http://www.cgv.co.kr/theaters/?areacode=204&theaterCode=0324&date=20230530,경상
172,CGV창원,http://www.cgv.co.kr/theaters/?areacode=204&theaterCode=0023&date=20230530,경상
173,CGV창원더시티,http://www.cgv.co.kr/theaters/?areacode=204&theaterCode=0079&date=20230530,경상
174,CGV창원상남,http://www.cgv.co.kr/theaters/?areacode=204&theaterCode=0283&date=20230530,경상
175,CGV통영,http://www.cgv.co.kr/theaters/?areacode=204&theaterCode=0156&date=20230530,경상
176,CGV광양,http://www.cgv.co.kr/theaters/?areacode=206%2C04%2C06&theaterCode=0220&date=20230530,광주/전라/제주
